"date","close","volume","open","high","low"
"16:00","197.87","21,124,215","199.67","199.88","197.31"
"2019/06/19","197.8700","21124240.0000","199.6800","199.8800","197.3100"
"2019/06/18","198.4500","26551000.0000","196.0500","200.2900","195.2100"
"2019/06/17","193.8900","14669140.0000","192.9000","194.9600","192.1700"
"2019/06/14","192.7400","18761470.0000","191.5450","193.5863","190.3000"
"2019/06/13","194.1500","21674630.0000","194.7000","196.7900","193.6000"
"2019/06/12","194.1900","18253190.0000","193.9500","195.9700","193.3850"
"2019/06/11","194.8100","26932880.0000","194.8600","196.0000","193.6000"
"2019/06/10","192.5800","26220850.0000","191.8100","195.3700","191.6200"
"2019/06/07","190.1500","30684390.0000","186.5100","191.9200","185.7700"
"2019/06/06","185.2200","22526310.0000","183.0800","185.4700","182.1489"
"2019/06/05","182.5400","29773430.0000","184.2800","184.9900","181.1400"
"2019/06/04","179.6400","30967960.0000","175.4400","179.8300","174.5200"
"2019/06/03","173.3000","40396070.0000","175.6000","177.9200","170.2700"
"2019/05/31","175.0700","27043580.0000","176.2300","177.9900","174.9900"
"2019/05/30","178.3000","21218410.0000","177.9500","179.2300","176.6700"
"2019/05/29","177.3800","28481170.0000","176.4200","179.3500","176.0000"
"2019/05/28","178.2300","27948160.0000","178.9200","180.5900","177.9100"
"2019/05/24","178.9700","23714690.0000","180.2000","182.1400","178.6200"
"2019/05/23","179.6600","36529740.0000","179.8000","180.5400","177.8100"
"2019/05/22","182.7800","29748560.0000","184.6600","185.7100","182.5500"
"2019/05/21","186.6000","28364850.0000","185.2200","188.0000","184.7000"
"2019/05/20","183.0900","38612290.0000","183.5200","184.3490","180.2839"
"2019/05/17","189.0000","32879090.0000","186.9300","190.9000","186.7600"
"2019/05/16","190.0800","33031360.0000","189.9100","192.4689","188.8400"
"2019/05/15","190.9200","26544720.0000","186.2700","191.7500","186.0200"
"2019/05/14","188.6600","36529680.0000","186.4100","189.7000","185.4100"
"2019/05/13","185.7200","57430620.0000","187.7100","189.4800","182.8500"
"2019/05/10","197.1800","41208710.0000","197.4190","198.8500","192.7700"
"2019/05/09","200.7200","34908610.0000","200.4000","201.6800","196.6600"
"2019/05/08","202.9000","26339500.0000","201.9000","205.3400","201.7500"
"2019/05/07","202.8600","38763700.0000","205.8800","207.4175","200.8250"
"2019/05/06","208.4800","32443110.0000","204.2900","208.8400","203.5000"
"2019/05/03","211.7500","20892380.0000","210.8900","211.8400","210.2300"
"2019/05/02","209.1500","31996320.0000","209.8400","212.6500","208.1300"
"2019/05/01","210.5200","64827330.0000","209.8800","215.3100","209.2300"
"2019/04/30","200.6700","45751160.0000","203.0600","203.4000","199.1100"
"2019/04/29","204.6100","22010360.0000","204.4000","205.9700","203.8600"
"2019/04/26","204.3000","18612770.0000","204.9000","205.0000","202.1200"
"2019/04/25","205.2800","18463850.0000","206.8300","207.7600","205.1200"
"2019/04/24","207.1600","17427570.0000","207.3600","208.4800","207.0500"
"2019/04/23","207.4800","23286380.0000","204.4300","207.7500","203.9000"
"2019/04/22","204.5300","17841920.0000","202.8300","204.9400","202.3400"
"2019/04/18","203.8600","24185530.0000","203.1200","204.1500","202.5200"
"2019/04/17","203.1300","28865310.0000","199.5400","203.3800","198.6100"
"2019/04/16","199.2500","25668330.0000","199.4600","201.3700","198.5600"
"2019/04/15","199.2300","17524150.0000","198.5800","199.8500","198.0100"
"2019/04/12","198.8700","27738580.0000","199.2000","200.1400","196.2100"
"2019/04/11","198.9500","20543190.0000","200.8500","201.0000","198.4431"
"2019/04/10","200.6200","21654750.0000","198.6800","200.7400","198.1800"
"2019/04/09","199.5000","35738280.0000","200.3200","202.8500","199.2300"
"2019/04/08","200.1000","25829880.0000","196.4200","200.2300","196.3400"
"2019/04/05","197.0000","18473070.0000","196.4500","197.1000","195.9300"
"2019/04/04","195.6900","19090050.0000","194.7900","196.3700","193.1400"
"2019/04/03","195.3500","23243160.0000","193.2500","196.5000","193.1500"
"2019/04/02","194.0200","22727370.0000","191.0900","194.4600","191.0500"
"2019/04/01","191.2400","27308200.0000","191.6400","191.6800","188.3800"
"2019/03/29","189.9500","23524830.0000","189.8300","190.0800","188.5400"
"2019/03/28","188.7200","20710390.0000","188.9500","189.5590","187.5300"
"2019/03/27","188.4700","29771210.0000","188.7500","189.7600","186.5500"
"2019/03/26","186.7900","49696100.0000","191.6640","192.8800","184.5800"
"2019/03/25","188.7400","43751810.0000","191.5100","191.9800","186.6000"
"2019/03/22","191.0500","42287640.0000","195.3400","197.6900","190.7800"
"2019/03/21","195.0900","50943120.0000","190.0200","196.3300","189.8100"
"2019/03/20","188.1600","31003380.0000","186.2300","189.4900","184.7300"
"2019/03/19","186.5300","31440300.0000","188.3500","188.9900","185.9200"
